"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M11678","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",420,0.520698561387269,2.22826314531256,9.21605004667507e-21,1.02270507367953e-16,8.70189146512373e-17,3502,"tags=43%, list=16%, signal=37%","IGHA1/GZMB/IGHG3/CLEC7A/IGHD/IL4I1/IGKC/CXCL6/SLAMF7/RSAD2/CTSC/EXO1/TAP2/IL27RA/LYN/CD274/CCL3/IGHV1-69/IGHG1/CALHM6/ADORA2B/ADGRE2/PLCG2/TLR8/IL7R/ICAM1/C1QB/SCNN1B/CSF2RB/NKG7/TREM1/PRF1/CEBPG/ULBP2/PVR/CD2/PTPRC/LILRB1/LILRB4/C1QA/FCGR3B/IGLC1/NCF1/FCGR1BP/LAG3/CD80/FCER1G/JAK3/CD8A/IL2RG/CR1/FCGR1A/FCGR2B/C1QC/ITGB2/CCR2/IGHV3-72/IGHV3-73/CARD9/IGLC2/SLAMF1/IL21R/CD84/FCGR2C/C2/NECTIN4/TNF/SUSD4/KIT/IL1B/TIGIT/SH2D1A/XCL1/PIK3CD/NSD2/HAVCR2/CD40/HLA-F/IL18R1/TNFRSF1B/IL2RB/CD300A/MYO1G/RIGI/CORO1A/CD27/KMT5B/IL23A/TLR4/SASH3/RNF8/KLRD1/CD96/TYROBP/HCST/C1S/IL12RB1/IL18/FCGR2A/P2RX7/CD226/IL6R/ADAM17/GNAI1/IL6/KLRK1/MSH2/SERPINB9/ANXA3/RIF1/DDX21/LGALS9/NCKAP1L/FGR/MAD2L2/MALT1/CD7/SYK/KLRC4-KLRK1/SLA2/VAV1/RNF19B/CLC/IL18RAP/CRTAM/BTN3A3/MAP3K7/ADORA3/IL10/BTK/SLAMF6/MSH6/CD74/ITGAM/SECTM1/SPI1/CD1A/HLA-E/CR2/TFRC/HLA-B/BTLA/GZMM/IL12A/HLA-G/CEACAM1/HLA-DRB1/FUT7/UNC13D/PTGDS/CD70/TUBB/HLA-C/CBL/HPRT1/CYRIB/BCR/RASGRP1/ATAD5/RAB27A/B2M/IL13RA2/ARRB2/STAP1/NBN/RAC2/HLA-DRA/USP5/TBX21/UNG/IL20RB/PIK3CB/PIK3CG/HLA-A/KIR2DL4/MYD88/NDST2/CTSH/NLRP3/CD1D"
"M42607","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",393,0.522833392082071,2.2273585502366,1.50620271420771e-19,5.57144383985431e-16,4.7405748584011e-16,4164,"tags=51%, list=19%, signal=42%","IGHA1/IGHM/GBP1/IGHG3/CLEC7A/IGHD/IGKC/TNFRSF21/CLEC4E/CD38/LYN/FPR3/CD274/IGHG1/FCN1/TLR1/PLCG2/LCK/THEMIS2/CD24/CTLA4/LBP/LILRB2/CD86/PIK3AP1/PLSCR1/OAS1/TRDC/PTPRC/LILRB1/LILRB4/RIPK2/FCGR3B/IGLC1/FCGR1BP/LAG3/CD80/TNFAIP3/KCNN4/TLR2/FCER1G/CD8A/CD72/HCK/CR1/LCP2/CD14/FCGR1A/FYB1/FCGR2B/MFHAS1/PDCD1LG2/PELI1/PTK2/PDE4B/IFNG/CYBA/NCK1/TRAT1/PRKCQ/FCGR2C/IRAK1/PTPN22/RAB29/ADA/CD3D/KLHL6/ITK/KIT/CD247/SH2D1A/PIK3CD/LAPTM5/CD47/MAPK1/HLA-DQB1/CCR7/LAIR1/NMI/CD40/TRGC2/PRNP/C3AR1/C5AR1/LILRB3/DGKZ/LAIR2/LAX1/PRKCB/CD300A/MNDA/TRAC/MYO1G/FPR1/CD3G/MOG/YES1/TLR4/IRAK2/STOML2/KLRD1/THEMIS/TYROBP/LPXN/PTPN2/SOS1/FPR2/KHDRBS1/CLEC2D/CD8B/FCGR2A/CD226/PVRIG/TLR6/KLRK1/CYLD/RAB7B/LGALS9/ZNRF1/LILRA5/NCKAP1L/FGR/MALT1/PAK3/PIGR/SYK/ICOSLG/KLRC4-KLRK1/SLA2/BTN2A2/VAV1/MS4A1/MIR18A/BTN3A3/MAP3K7/ZAP70/BRAF/CLEC4D/BTK/PAK2/ITGAM/CMKLR1/CR2/LILRA6/BTLA/HLA-G/CEACAM1/SH2B2/UBASH3A/FCN3/HLA-DRB1/NFAM1/TNIP3/CBL/CD79A/ZC3H12A/STAP1/RC3H2/FYN/COLEC11/NR1H3/IRF3/WNK1/LILRB5/CD5/ACOD1/PIK3CA/PLCL2/HLA-A/KIR2DL4/FCRL3/LILRA3/MYD88/LY96/FCHO1/BAG6/CD3E/NFKBIA/SRC/CSK/BTN3A2/BTN2A1/CD4/ZNF683/SQSTM1/KIR3DL2/TLR5/INPP5D/FCAR/CD79B/LILRA4/BTN3A1/RABGEF1/LAT/CD200R1/CD28/PTPRJ/EIF2B5/KIR2DL5A/BCL10/EIF2B3/SHB"
"M19628","GOBP_CHROMOSOME_SEGREGATION",443,0.503841835151854,2.15791587109141,1.41194523043741e-19,5.57144383985431e-16,4.7405748584011e-16,3791,"tags=37%, list=18%, signal=31%","HORMAD1/CDC20/TTK/CENPA/KIF14/FAM83D/BUB1/CENPW/TPX2/CEP55/ASPM/CDCA2/CCNE1/SKA1/BIRC5/AURKB/UBE2C/CCNB2/KIF2C/KIF18B/DLGAP5/TRIP13/NUF2/CENPF/NCAPG/NDC80/STIL/AURKA/KIF23/KIF4A/MYBL2/MKI67/KIF18A/PTTG1/CDCA8/CENPN/HJURP/NCAPH/MND1/DIAPH3/CENPE/NEK2/MAD2L1/GPSM2/TOP2A/KIF15/BUB1B/CDK1/PRC1/NCAPD2/SPC25/KNL1/CENPI/KIFC1/NUSAP1/PLSCR1/SMC4/CDT1/TACC3/CHEK2/CENPL/RACGAP1/CDC6/FIRRM/PLK1/CCNB1/PTTG3P/SRPK1/SGO2/SKA3/KNSTRN/SPC24/SPAG5/PSRC1/MEIOC/FBXO5/EML4/CCNE2/KIF11/ESPL1/FANCD2/ECT2/CENPV/ESCO2/SUN1/NDC1/NCAPG2/SGO1/TUBGCP3/SMC1A/CENPO/CHMP4C/SMC2/RAD21/TENT4A/CCSAP/CENPU/INCENP/HAUS8/DCAF13/HASPIN/HAUS6/SEH1L/CENPM/ZWINT/SPDL1/TTL/CCDC86/HAUS7/ACTL6A/MAD2L2/GEN1/RCC1/NDE1/RCC2/ZWILCH/UHRF1/BRIP1/TEX15/MIS18A/RMI2/NUP62/SMC6/MSH5/NSMCE2/CIAO1/TUBB/MAPRE2/HAUS5/RAD18/TOP3B/CSNK2A2/RIOK3/SMC5/SASS6/RRS1/ANAPC1/FLNA/ACTR3/CHFR/SAC3D1/SMARCA4/CENPQ/CSNK2A1/KNTC1/KATNB1/EHMT2/CENPK/CCNB1IP1/BAG6/DSN1/KIF2A/RECQL5/LSM14A/CHMP1A/DYNC1I1/DRG1/CIAO2B/CEP192/STAG3/MEIOB/SYCE1L"
"M12663","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",318,0.545923813968045,2.27291119965331,1.34529283078092e-18,3.73217863579396e-15,3.17559912950127e-15,3824,"tags=48%, list=18%, signal=40%","IGHA1/GZMB/IGHG3/IGHD/IL4I1/IGKC/SLAMF7/RSAD2/CTSC/EXO1/TAP2/IL27RA/CD274/IGHV1-69/IGHG1/CALHM6/TLR8/IL7R/ICAM1/C1QB/CSF2RB/NKG7/PRF1/CEBPG/ULBP2/PVR/CD2/PTPRC/LILRB1/LILRB4/C1QA/FCGR3B/IGLC1/FCGR1BP/LAG3/CD80/FCER1G/CD8A/IL2RG/CR1/FCGR1A/FCGR2B/C1QC/CCR2/IGHV3-72/IGHV3-73/CARD9/IGLC2/SLAMF1/IL21R/FCGR2C/C2/NECTIN4/TNF/SUSD4/IL1B/TIGIT/SH2D1A/XCL1/NSD2/HAVCR2/CD40/HLA-F/IL18R1/TNFRSF1B/IL2RB/MYO1G/CORO1A/CD27/KMT5B/IL23A/SASH3/RNF8/KLRD1/CD96/TYROBP/HCST/C1S/IL12RB1/IL18/FCGR2A/P2RX7/CD226/IL6/KLRK1/MSH2/SERPINB9/RIF1/LGALS9/NCKAP1L/MAD2L2/MALT1/CD7/KLRC4-KLRK1/SLA2/VAV1/RNF19B/CLC/IL18RAP/CRTAM/BTN3A3/MAP3K7/IL10/BTK/SLAMF6/MSH6/CD74/SECTM1/CD1A/HLA-E/CR2/TFRC/HLA-B/BTLA/GZMM/IL12A/HLA-G/CEACAM1/HLA-DRB1/FUT7/UNC13D/CD70/TUBB/HLA-C/HPRT1/CYRIB/RASGRP1/ATAD5/RAB27A/B2M/IL13RA2/ARRB2/NBN/HLA-DRA/USP5/TBX21/UNG/IL20RB/PIK3CB/HLA-A/KIR2DL4/MYD88/CTSH/NLRP3/CD1D/FZD5/BTN3A2/KLRB1/SERPINB4/INPP5D/HSPD1/CR1L"
"M16548","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",357,0.521804522039838,2.20115187680203,2.32074573328552e-17,4.29221923371158e-14,3.65212091711775e-14,3502,"tags=44%, list=16%, signal=38%","IGHA1/IGHG3/IL12RB2/CLEC7A/IGHD/IL4I1/IGKC/RSAD2/CTSC/EXO1/TAP2/IL27RA/CD274/IGHV1-69/IGHG1/TNFSF13B/TLR8/IL7R/ICAM1/PLA2G4A/C1QB/CSF2RB/PRF1/ULBP2/PVR/CD69/PSMB9/PTPRC/LILRB1/LILRB4/C1QA/RIPK2/FCGR3B/IGLC1/FCGR1BP/LAG3/CD80/TNFAIP3/FCER1G/JAK3/CD8A/IL2RG/CR1/FCGR1A/FCGR2B/C1QC/CCR2/IGHV3-72/IGHV3-73/CARD9/IGLC2/SLAMF1/SLC11A1/IL21R/PRKCQ/FCGR2C/ADA/C2/KLHL6/TNF/SUSD4/IL1B/XCL1/NOTCH1/IL18BP/RELB/NSD2/CCL19/CXCL13/HAVCR2/CD40/HLA-F/ANXA1/IL18R1/TNFRSF1B/IRF4/IL2RB/MYO1G/CD27/KMT5B/EPHB2/IL23A/TLR4/SASH3/RNF8/KLRD1/C1S/IL12RB1/IL18/FCGR2A/P2RX7/CD226/IL6R/ADAM17/IL6/MSH2/PSMB2/RIF1/LGALS9/NCKAP1L/MAD2L2/MALT1/CD7/NFKB2/SLA2/SOCS3/CLC/IL18RAP/CRTAM/BTN3A3/MAP3K7/IL10/BTK/SLAMF6/MSH6/CD74/SECTM1/CD1A/HLA-E/CR2/PSMA7/TFRC/HLA-B/BTLA/GZMM/IL12A/HLA-G/CEACAM1/HLA-DRB1/FUT7/UNC13D/CD70/HLA-C/PHB1/HPRT1/CYRIB/ATAD5/RAB27A/ZC3H12A/STAT4/B2M/IL13RA2/RC3H2/NBN/HLA-DRA/USP5/TBX21/UNG/IL20RB/PSMB4/PSMB10/HLA-A/PSMB8/MYD88/LY9/CTSH/NLRP3/CD1D"
"M16660","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",335,0.520391994253984,2.17683404965081,2.00337494567472e-17,4.29221923371158e-14,3.65212091711775e-14,2516,"tags=30%, list=12%, signal=27%","HORMAD1/CDC20/TTK/CENPA/KIF14/FAM83D/BUB1/TPX2/CEP55/ASPM/CCNE1/SKA1/BIRC5/AURKB/UBE2C/CCNB2/KIF2C/KIF18B/DLGAP5/TRIP13/NUF2/CENPF/NCAPG/NDC80/AURKA/KIF23/KIF4A/MYBL2/KIF18A/PTTG1/CDCA8/NCAPH/MND1/CENPE/NEK2/MAD2L1/TOP2A/KIF15/BUB1B/CDK1/PRC1/NCAPD2/SPC25/KNL1/CENPI/KIFC1/NUSAP1/SMC4/CDT1/TACC3/CHEK2/RACGAP1/CDC6/PLK1/CCNB1/PTTG3P/SGO2/SKA3/KNSTRN/SPC24/SPAG5/PSRC1/MEIOC/FBXO5/EML4/CCNE2/KIF11/ESPL1/FANCD2/ECT2/CENPV/SUN1/NDC1/NCAPG2/SGO1/SMC1A/CHMP4C/SMC2/RAD21/TENT4A/CCSAP/INCENP/DCAF13/HASPIN/SEH1L/ZWINT/SPDL1/TTL/ACTL6A/MAD2L2/GEN1/RCC1/RCC2/ZWILCH/UHRF1/BRIP1/TEX15/RMI2/NUP62/MSH5/NSMCE2"
"M15579","GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",322,0.525368731390503,2.19428760354066,3.95845426617723e-17,6.2752809988241e-14,5.33944883723454e-14,2972,"tags=31%, list=14%, signal=27%","MMP7/S100A8/CCL20/IGHA1/PI3/IGHM/LCN2/GBP5/S100A9/GBP1/IGHG3/IGHD/CLEC4E/CXCL6/SLAMF8/ADM/SLPI/DEFB1/IL27RA/LYZ/IGHG1/TF/KRT6A/ISG15/IL7R/LBP/SLC15A2/SCNN1B/GNLY/OAS2/TREM1/GBP4/OAS1/RIPK2/CEBPB/NCF1/TLR2/FCER1G/HCK/FCGR1A/OPTN/CASP1/PLAC8/CARD9/EMILIN2/CYBA/SLC11A1/KLK7/DUOX1/IRF8/TNF/IL1B/RNASE2/CXCL13/KLK5/HAVCR2/C5AR1/MPEG1/IL18R1/ANKRD17/AKIRIN2/IL23A/TLR4/NOD2/RNASE1/OAS3/FPR2/JCHAIN/IL18/P2RX7/IL6R/TLR6/ADAM17/IL6/ARG2/KLRK1/SEH1L/ANXA3/FGR/SYK/TNFSF8/KLRC4-KLRK1/TMF1/EPHA2/GSDMC/IL18RAP/MAP3K7/CLEC4D/IL10/RNF213/HLA-E/IL12A/GBP2/BPI/HMGB2/RNASE6/NLRC4/NAGK/B2M/ABCC1/HAMP"
"M10380","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",179,0.616975086305409,2.43349018621798,5.93314668252294e-17,8.23001609199464e-14,7.00267443976721e-14,1721,"tags=26%, list=8%, signal=24%","CXCL5/CCL8/CXCL11/CXCL10/MMP7/CCL18/CCL20/IGHA1/PI3/CXCL1/IGHM/S100A9/CXCL8/CXCL2/IGHG3/IGHD/CXCL9/CCL7/CXCL6/ADM/S100A7/CCL13/SLPI/CCL5/CCL2/CCL4/DEFB1/LYZ/CCL3/IGHG1/TF/CX3CL1/KRT6A/GNLY/CXCL3/SLC11A1/XCL2/KLK7/RNASE2/XCL1/CCL19/CXCL13/KLK5/PRSS3/PRSS2/CCL26/JCHAIN"
"M13774","GOBP_HUMORAL_IMMUNE_RESPONSE",298,0.540164414384622,2.24581070209518,6.89399379946827e-17,8.50029435474438e-14,7.2326461264597e-14,1784,"tags=25%, list=8%, signal=23%","CXCL5/CCL8/CXCL11/CXCL10/MMP7/CCL18/CCL20/IGHA1/PI3/CXCL1/IGHM/S100A9/CXCL8/CXCL2/IGHG3/IGHD/CXCL9/TNFRSF21/CCL7/CXCL6/ADM/S100A7/CCL13/SLPI/EXO1/CCL5/CCL2/CCL4/DEFB1/LYZ/CCL3/IGHG1/TF/FCN1/CX3CL1/KRT6A/C1QB/GNLY/POU2AF1/TREM1/CXCL3/PTPRC/C1QA/VSIG4/CR1/FCGR2B/C1QC/GZMK/CCR2/CD83/IFNG/SLC11A1/XCL2/KLK7/C2/TNF/SUSD4/GPR183/IL1B/SH2D1A/RNASE2/XCL1/NOTCH1/CCL19/HLA-DQB1/CXCL13/CCR7/KLK5/PRSS3/IL7/PRSS2/C1S/CCL26/JCHAIN/IL6"
"M15770","GOBP_CELL_KILLING",258,0.550208437814598,2.253835863722,9.86040894348957e-16,8.83176960858552e-13,7.51468850177735e-13,3502,"tags=41%, list=16%, signal=35%","CCL8/CXCL11/CXCL10/CCL18/CCL20/CXCL1/GBP5/GBP1/CXCL8/GZMB/CXCL2/CXCL9/CXCL6/SLAMF7/CCL13/CTSC/TAP2/LYZ/IGHG1/KRT6A/IL7R/ICAM1/SCNN1B/NKG7/GNLY/TREM1/CXCL3/PRF1/CEBPG/ULBP2/PVR/CD2/PTPRC/LILRB1/FCGR3B/NCF1/FCGR1BP/LAG3/GZMA/CR1/FCGR1A/FCGR2B/FCGR2C/NECTIN4/TIGIT/SH2D1A/XCL1/CCL19/CXCL13/HAVCR2/HLA-F/CORO1A/IL23A/KLRD1/TYROBP/HCST/GZMH/IL12RB1/IL18/FCGR2A/P2RX7/CD226/KLRK1/SERPINB9/LGALS9/NCKAP1L/KLRC4-KLRK1/VAV1/RNF19B/IL18RAP/CRTAM/IL10/SLAMF6/ITGAM/SPI1/CD1A/HLA-E/HLA-B/GZMM/IL12A/HLA-G/CEACAM1/GBP2/HLA-DRB1/UNC13D/TUBB/HLA-C/HPRT1/CCL28/CYRIB/RASGRP1/RAB27A/B2M/ARRB2/STAP1/HAMP/HLA-DRA/HTN1/CCL11/PIK3CB/HLA-A/KIR2DL4/MYD88/GAPDH/CTSH/CD1D"
