"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M19628","GOBP_CHROMOSOME_SEGREGATION",443,0.495476867141811,2.23901870804516,9.40425437281008e-21,1.04359010775073e-16,8.91424322391103e-17,4629,"tags=45%, list=22%, signal=36%","HORMAD1/CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/CENPW/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/CCNE1/DLGAP5/KIF18B/CDCA2/CEP55/NDC80/DIAPH3/MND1/STIL/CCNB2/UBE2C/NCAPG/NCAPD2/CDCA8/ASPM/KIF18A/CDK1/FIRRM/AURKA/FAM83D/NCAPH/NDC1/HJURP/SMC4/GPSM2/KIF23/PTTG1/PRC1/CENPF/SPC25/KIFC1/CENPL/KIF4A/SEH1L/CHEK2/RIOK3/PLSCR1/PLK1/CHMP4C/NUSAP1/MKI67/SKA3/CENPI/KIF15/KNL1/SMC1A/CENPV/MYBL2/CDC6/FBXO5/BUB1B/HAUS6/CCNB1/DCAF13/MEIOC/CENPE/ECT2/CENPN/CDT1/RAD21/KNSTRN/TUBGCP3/CCNE2/HAUS7/NCAPG2/TACC3/INCENP/TOP2A/SRPK1/SMC2/CCSAP/SGO1/FANCD2/PTTG3P/NDE1/SPC24/RCC1/EML4/SUN1/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/MIS18A/ESPL1/ACTL6A/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/RMI2/ESCO2/ZWILCH/SGO2/RRS1/CCDC86/CENPH/BRIP1/TUBGCP4/RACGAP1/RAN/ZW10/HAUS8/SMARCA4/CEP192/RAD18/ANAPC1/WRAP73/TTL/TOP3B/NUP37/ASB7/MAD2L2/HSPA1A/CENPO/SAC3D1/CIAO1/KMT5A/CEP85/PINX1/RCC2/CENPM/CENPQ/SIRT7/TUBB/RECQL5/ACTR2/MAPRE2/MAD1L1/PPP2R1B/TLK1/NTMT1/HAUS5/FLNA/HSPA1B/AGO4/SMC6/ZWINT/SPAG5/CSNK1D/NAT9/CDC27/CCNB1IP1/DYNC1I1/NUP62/MEIOB/MAEL/KIF11/CSNK2A1/SIRT2/GTF2B/ACTB/KIF2A/TUBG1/TEX15/CIAO2B/BAG6/NUP43/SMARCA2/DYNC1LI1/SMC3/SMC5/MAPRE1/HAUS1/CSNK2A2/DRG1/NCAPD3/BAZ1B/ARL8B/KATNB1/TLK2/DDX3X/PSMG2/KPNB1/SASS6/MSH5/SKA2/MTCL1/SMARCC1/EHMT2/CCDC61/WASHC5"
"M12927","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",179,-0.618736889765111,-2.50510807231454,7.03289872572178e-17,3.90220385796673e-13,3.33322384342761e-13,2550,"tags=43%, list=12%, signal=38%","COL15A1/COL5A3/FGG/CTHRC1/IGFBP7/SRPX2/ANOS1/NID1/EMILIN1/LAMA5/COL6A6/PCOLCE/FN1/TNC/COL13A1/SRPX/COL8A2/HSPG2/LAMA4/MXRA5/TNXB/FGB/COL11A1/FBLN2/EFEMP2/COL16A1/LAMB2/BGN/NID2/COL6A3/AEBP1/PODN/VWF/LAMB1/COL5A2/COL5A1/LTBP2/FBN2/THBS2/FBLN1/COL12A1/DPT/SPOCK1/LAMA2/COL8A1/COL1A1/MFAP4/SPARC/COL4A6/VCAN/MATN2/LUM/FMOD/COL10A1/ASPN/EDIL3/COL4A5/ECM1/MMRN2/DCN/FBN1/MFAP5/CILP/MMRN1/ABI3BP/ADIPOQ/COMP/POSTN/COL3A1/SPON1/NPNT/COL1A2/MATN3/HMCN1/COL14A1/THSD4/OGN"
"M16660","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",335,0.499290571290671,2.19664194291707,1.62105609197892e-16,5.99628648423001e-13,5.12196845904216e-13,2542,"tags=32%, list=12%, signal=29%","HORMAD1/CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/CCNE1/DLGAP5/KIF18B/CEP55/NDC80/MND1/CCNB2/UBE2C/NCAPG/NCAPD2/CDCA8/ASPM/KIF18A/CDK1/AURKA/FAM83D/NCAPH/NDC1/SMC4/KIF23/PTTG1/PRC1/CENPF/SPC25/KIFC1/KIF4A/SEH1L/CHEK2/PLK1/CHMP4C/NUSAP1/SKA3/CENPI/KIF15/KNL1/SMC1A/CENPV/MYBL2/CDC6/FBXO5/BUB1B/CCNB1/DCAF13/MEIOC/CENPE/ECT2/CDT1/RAD21/KNSTRN/CCNE2/NCAPG2/TACC3/INCENP/TOP2A/SMC2/CCSAP/SGO1/FANCD2/PTTG3P/SPC24/RCC1/EML4/SUN1/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/ACTL6A/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/RMI2/ZWILCH/SGO2/RRS1/BRIP1/RACGAP1/RAN/ZW10/SMARCA4/CEP192/ANAPC1/WRAP73/TTL/ASB7/MAD2L2/HSPA1A"
"M17554","GOCC_IMMUNOGLOBULIN_COMPLEX",47,0.809520111117912,2.64682452524808,1.99204381163951e-14,5.5264275444409e-11,4.72061961152994e-11,1856,"tags=60%, list=9%, signal=55%","IGHA1/IGKV1-17/IGHM/IGKC/IGKV2D-28/IGLV3-19/IGHG3/IGLV2-14/IGKV1D-39/IGHD/IGKV1D-37/IGLV1-44/IGLV3-1/IGLV3-10/IGKV4-1/IGKV1D-13/IGHV1-69/IGKV1D-8/IGLC1/IGLV4-60/IGHV3-73/IGLV9-49/IGHG1/IGLV3-25/IGLC2/IGHV3-72/TRDV3/JCHAIN"
"M5962","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",204,0.549443054788454,2.3168660752977,3.94189800819319e-14,8.74864843938397e-11,7.47300875026941e-11,2542,"tags=38%, list=12%, signal=34%","CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/DLGAP5/KIF18B/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/CDK1/NCAPH/SMC4/KIF23/PRC1/CENPF/SPC25/KIFC1/KIF4A/SEH1L/CHEK2/PLK1/CHMP4C/NUSAP1/SKA3/CENPI/KIF15/KNL1/SMC1A/MYBL2/FBXO5/BUB1B/CCNB1/CENPE/CDT1/RAD21/KNSTRN/NCAPG2/INCENP/SMC2/CCSAP/SPC24/RCC1/EML4/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/ZWILCH/RRS1/RACGAP1/RAN/ZW10/CEP192/WRAP73/MAD2L2/HSPA1A"
"M17130","GOCC_CHROMOSOMAL_REGION",407,0.438269131966999,1.96499524323485,9.30797444187132e-13,1.7215098730241e-09,1.47049666401844e-09,4227,"tags=39%, list=20%, signal=32%","CDC20/TTK/SKA1/NUF2/AURKB/BIRC5/NEK2/CENPW/CHEK1/KIF2C/BUB1/CENPA/MAD2L1/NLRP2/SUV39H2/NDC80/CDCA5/NCAPG/NCAPD2/ORC1/CDCA8/KIF18A/OIP5/CDK1/FIRRM/AURKA/RAD51AP1/RAD51/HJURP/SMC4/DSCC1/MCM4/CENPF/MCM7/BLM/SPC25/CEBPB/CENPL/SEH1L/FEN1/CHEK2/PLK1/CHMP4C/MSH2/SKA3/CENPI/KNL1/SMC1A/CENPV/BUB1B/CCNB1/CKAP5/CENPE/ALYREF/CENPN/CDT1/RAD21/KNSTRN/ERCC6L/INCENP/MCM2/NAT10/TOP2A/SGO1/BRCA2/EZH2/NDE1/SPC24/DNA2/MTBP/SUN1/HNRNPU/KIF22/CHMP1B/RPA1/MIS18A/ZBTB10/RNF8/ACTL6A/MCM5/NSMCE2/SPDL1/HSF1/PIF1/ESCO2/ZWILCH/HDAC2/SGO2/NUP160/CENPH/SMCHD1/PML/RIF1/CDK2/MCM3/ORC5/NBN/MRE11/NUP98/CHRAC1/ORC3/ZW10/NUP85/KDM4C/SMARCA4/NABP1/NUP37/RECQL4/SUV39H1/PRKDC/CENPO/UHRF2/PAFAH1B1/KDM1A/MCM6/SUMO3/H2AX/PINX1/SSB/RCC2/CENPM/CENPQ/THOC5/DCLRE1B/GAR1/MAD1L1/RANGAP1/DHX36/MIS18BP1/SMC6/FMR1/ZWINT/SPAG5/DYNC1I1/PPP1CB/ACD/NUP133/POLE3/SIRT2/GTF2B/POT1/ACTB/IKZF1/NUP43/PCNA/THOC1/WRNIP1/DNMT3A/DYNC1LI1/SMC3/SMC5/ATR/POLD1/TERF2/NCAPD3/BAZ1B/LRWD1"
"M13328","GOBP_MITOTIC_NUCLEAR_DIVISION",291,0.485232155784367,2.1139368124427,1.2010536192485e-12,1.90401314468579e-09,1.62638914907259e-09,2556,"tags=33%, list=12%, signal=30%","CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/ANLN/NEK2/CHEK1/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/TGFA/DLGAP5/KIF18B/CDCA2/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/CDK1/AURKA/NCAPH/IL1B/SMC4/KIF23/PRC1/CENPF/SPC25/KIFC1/KIF4A/SEH1L/CDC25C/CHEK2/PLK1/CHMP4C/NUSAP1/MKI67/SKA3/CENPI/KIF15/KNL1/SMC1A/MYBL2/DMRT1/FBXO5/BUB1B/CCNB1/UBE2S/CENPE/CDT1/RAD21/KNSTRN/NCAPG2/BORA/INCENP/SMC2/CCSAP/NDE1/SPC24/TNF/RCC1/MTBP/EML4/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/ZWILCH/RRS1/NFIB/CCDC86/RACGAP1/RAN/BTC/EDN1/ZW10/CEP192/WRAP73/MAD2L2/HSPA1A/SPHK1"
"M536","GOBP_SISTER_CHROMATID_SEGREGATION",245,0.507794441314991,2.18337754055144,1.51776124832323e-12,2.10532457158037e-09,1.79834737383562e-09,2542,"tags=35%, list=12%, signal=31%","CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/DLGAP5/KIF18B/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/CDK1/NCAPH/SMC4/KIF23/PRC1/CENPF/SPC25/KIFC1/KIF4A/SEH1L/CHEK2/PLK1/CHMP4C/NUSAP1/SKA3/CENPI/KIF15/KNL1/SMC1A/MYBL2/CDC6/FBXO5/BUB1B/CCNB1/CENPE/CDT1/RAD21/KNSTRN/NCAPG2/TACC3/INCENP/TOP2A/SMC2/CCSAP/SPC24/RCC1/EML4/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/ACTL6A/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/RMI2/ZWILCH/RRS1/RACGAP1/RAN/ZW10/SMARCA4/CEP192/ANAPC1/WRAP73/MAD2L2/HSPA1A"
"M10380","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",179,0.541125450037231,2.24385623328369,7.88510617292767e-12,9.72233591121982e-09,8.30472293417704e-09,1161,"tags=21%, list=5%, signal=20%","CXCL5/MMP7/PI3/CCL8/CCL20/CXCL1/CXCL8/CXCL2/CCL7/IGHA1/TF/KRT6A/KLK5/IGHM/CXCL6/CCL2/CXCL10/SLPI/CCL13/CCL18/ADM/IGHG3/IGHD/SLC11A1/S100A9/CXCL3/KLK7/DEFB1/LYZ/CCL3/CX3CL1/CCL4/CXCL11/IGHG1/CCL28/PRSS3/CCL5"
"M15372","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",458,0.410667190525128,1.85904642392929,1.23605739013476e-11,1.37165288583255e-08,1.17165229454353e-08,3061,"tags=32%, list=14%, signal=28%","HORMAD1/CDC20/TTK/SKA1/NUF2/AURKB/BIRC5/ANLN/UBD/CHEK1/KIF14/TRIP13/CDKN2A/BUB1/EGFR/MAD2L1/CCNE1/DLGAP5/CCL2/NDC80/GTPBP4/STIL/UBE2C/LYN/ORC1/CDCA8/RFC3/CDK1/AURKA/FAM83D/RAD51/SIX3/CENPF/BLM/SPC25/E2F7/TFDP1/CDC25C/MLF1/PLCG2/CDC45/CHEK2/PLK1/RFC4/CHMP4C/FBXO31/CDC25A/RRM2/MSH2/CDK16/SKA3/KNL1/CDC6/FBXO5/BUB1B/CCNB1/CENPE/CDT1/RAD21/DONSON/CCNE2/CUL4A/CDKN2D/INCENP/DBF4/TICRR/ADAM17/PKP3/RBL1/ANXA1/TIPRL/CDKN2B/FANCD2/RDX/BRCA2/EZH2/STK38/DLG1/RRM1/RHNO1/SPC24/CDK18/USP28/DNA2/PRMT2/BID/RFC2/MTBP/HASPIN/ESPL1/CDC25B/ACTL6A/NSMCE2/CDC16/SPDL1/DTL/KLHL18/RFC5/ZWILCH/PSMB2/WDR76/TPRA1/CLSPN/KLF11/BRIP1/EIF4G1/DBF4B/CDC5L/CDK2/SENP2/ANKRD17/TP53/NBN/MRE11/CCNQ/MDC1/ZW10/SMARCA4/PSMA7/AVEN/NABP1/MIIP/PSMB4/RAD1/ZNF655/DGKZ/RFWD3/NSUN2/PRKDC/MAD2L2/ATF5/WEE1/RAD51B/PSMA1/H2AX/PINX1/MAPK14/RCC2/CDC7/UBE2E2/WAC/TCF3/E2F1/PSME3/EIF2AK4/HINFP"
