"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M42607","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY","273/9013","393/16896",3.22457842651699e-11,3.57734730637794e-07,3.25818192801437e-07,"GATA3/FYB2/IGHA1/SLC39A6/IGHM/VAV3/BCL2/GBP1/IGHG3/CLEC7A/IGHD/IGKC/TNFRSF21/CLEC4E/BPIFB1/CD38/LYN/FPR3/CD274/IGHG1/FCN1/TLR1/PLCG2/LCK/THEMIS2/CD24/CTLA4/LBP/LILRB2/MAP3K1/CD86/PIK3AP1/PLSCR1/OAS1/TRDC/PTPRC/LILRB1/LILRB4/RIPK2/FCGR3B/PIK3R1/FCGR1BP/LAG3/FCMR/CD80/FOXP1/TNFAIP3/KCNN4/TLR2/FCER1G/NECTIN2/CD8A/CD72/HCK/CR1/LCP2/CD14/FCGR1A/FYB1/FCGR2B/MFHAS1/PDCD1LG2/BLVRA/APPL2/PELI1/PTK2/PDE4B/C5AR2/IFNG/CYBA/NCK1/TRAT1/PRKCQ/FCGR2C/IRAK1/PTPN22/RAB29/ADA/CD3D/KLHL6/ITK/KIT/CD247/SH2D1A/PIK3CD/LAPTM5/FCER1A/BTRC/CD47/MAPK1/HLA-DQB1/CCR7/LAIR1/NMI/CD40/TRGC2/PRNP/C3AR1/C5AR1/LILRB3/DGKZ/LAIR2/LAX1/PRKCB/CD300A/TRIL/MNDA/TRAC/MYO1G/FPR1/CD3G/PJA2/MOG/IKBKB/YES1/TLR4/IRAK2/STOML2/KLRD1/THEMIS/TYROBP/PAWR/LPXN/DENND1B/TIRAP/PTPN2/SOS1/FPR2/KHDRBS1/CLEC2D/CD8B/FCGR2A/CD226/PVRIG/TLR6/KLRK1/CYLD/RAB7B/LGALS9/ZNRF1/LILRA5/MAP2K4/NCKAP1L/FGR/MALT1/PAK3/SYK/ICOSLG/KLRC4-KLRK1/SLA2/BTN2A2/VAV1/MIR18A/BTN3A3/MAP3K7/ZAP70/BRAF/CLEC4D/BTK/PAK2/ITGAM/MAPK9/AKT1/SKAP1/CMKLR1/BTNL9/LILRA6/BTLA/TAX1BP1/HLA-G/SH2B2/UBASH3A/FCN3/HLA-DRB1/CREBBP/THY1/NFAM1/ELF1/TNIP3/CBL/PHPT1/ZC3H12A/PSEN1/RAP1A/RC3H2/LETMD1/FYN/COLEC11/NR1H3/IRF3/NINJ1/WNK1/LILRB5/CD5/ACOD1/PIK3CA/PLCL2/HLA-A/KIR2DL4/RAB11FIP2/LILRA3/MYD88/FCHO1/BAG6/CD3E/NFKBIA/SRC/CSK/BTN2A1/CD4/ZNF683/SQSTM1/KIR3DL2/INPP5D/FCAR/FCN2/PRKCD/HMGB1/BTN3A1/RABGEF1/CD200R1/PTPRJ/EIF2B5/KIR2DL5A/BCL10/SPPL3/EIF2B3/SHB/C1QTNF4/NR4A3/UBR2/ERMAP/CD33/TRAF3/RC3H1/CARD11/PDCD1/NFKBID/UBE2N/NR1D1/BAX/ITPRIPL1/CD2AP/LILRA2/NCR3/TESPA1/LIME1/KIR2DS2/LIMK1/PRAM1/KIR2DL2/CD160/RELA/DAB2IP/IKBKG/MASP2/FOXP3/SPG21/LIPA/KIR2DS5/BTNL2/KIR2DS4/KIR3DL1/KIR3DL3/KIR2DL3/KIR2DS3/NCR1/MASP1/GPLD1/KIR2DL1/PDE4D/BTNL3/GPR32",273
"M42804","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","302/9013","450/16896",1.28146049117062e-09,7.10826134452343e-06,6.47407329197199e-06,"DYNLRB2/MYB/CDC20/TTK/MUC1/FOXM1/KIF14/MELK/BUB1/CCNA2/UBD/BCL2/ANLN/CCNE1/SKA1/BIRC5/AURKB/UBE2C/CCNB2/DLGAP5/HSPA2/CDKN2A/SKP2/TRIP13/NUF2/CENPF/NDC80/STIL/FGF10/AURKA/CCL2/CDK6/BLM/CDCA8/IQGAP3/EGFR/CCNG2/CENPE/NEK2/PSMA5/CDC25A/CHEK1/MAD2L1/MASTL/SMARCE1/NFIA/BUB1B/CDK1/SPC25/EIF4EBP1/CCNO/E2F7/RRM2/KNL1/RAB11A/EZH2/ORC1/UBE2S/GTPBP4/CKS2/MYC/CDKN3/GSPT1/CDC25B/TACC3/CHEK2/BCAT1/NEK11/DONSON/BID/FBXL7/RAD50/NFIB/CCND1/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/IER3/DBF4/NABP1/PLK2/APPL2/SKA3/SKP1/E2F3/SPC24/CDC25C/PBX1/PPP6C/FBXO5/PPP2CA/PABIR1/CCNE2/ESPL1/KANK2/CCDC57/GPNMB/RIOK2/TPR/DBF4B/CTC1/RBL1/CUL4A/ID4/ANXA1/DGKZ/RPS27L/CLASP2/ANKRD17/TPD52L1/CCNG1/CLSPN/HEXIM2/SLFN11/CHMP4C/CCNA1/MTBP/RAD21/SIN3A/CCNJ/DTL/PIM2/MDM2/CUL3/CCNH/KLHL18/NES/FHL1/INCENP/RFWD3/NOP53/PTEN/KHDRBS1/HASPIN/ZNF655/ADAMTS1/CDKN2D/ADAM17/ANAPC7/ARID1B/DYNC1I2/PSMB2/PRKDC/RAD17/ZWINT/SPDL1/KLF11/ACTL6A/TAF2/UBE2E2/CHMP2A/MAD2L2/ABRAXAS1/E2F1/GEN1/RCC1/CCNY/TFDP1/BTN2A2/ARID2/RCC2/ZWILCH/PIAS1/DYNLT3/EIF4G1/KLF4/ZC3H12D/CDC73/CTDSPL/AKT1/PDIK1L/DACT1/SMARCA2/PSMA7/AIF1/BUB3/BRCA1/NSMCE2/CHMP4B/ACVR1B/AVEN/DYNLL2/SENP2/PRMT2/RBBP8/CDKN2C/CDK14/EPS8/CTDSP1/PSMA2/RDX/TPRA1/MIIP/GIGYF2/ATAD5/CDC34/TCF3/CDKN2B/ARPP19/SMC5/NBN/SASS6/ANAPC1/CHFR/SMARCA4/DNM2/CDK4/PSMB4/MRE11/NAE1/MBTPS1/KNTC1/CDK7/PKMYT1/TOPBP1/APC/CCNF/CCND2/XPC/CUL2/PHF10/RAD51B/ENSA/CDK2/WAC/IK/KMT2E/CALM1/USP22/SYF2/ETAA1/CRLF3/SIRT2/BRD7/DCUN1D3/PINX1/SMARCC2/CPSF3/GPR132/POLE/LSM10/ATR/CDKN1B/PKD2/CDC27/MNAT1/MRNIP/RRM2B/TAOK1/ACVR1/CTDSP2/LATS1/PBRM1/DUSP1/PSME1/FBXL15/ATM/UBE2A/RINT1/CCNI/HINFP/NPM2/CUL5/RBL2/SPAST/RNASEH2B/PKD1/CUL4B/CDC14B/ANAPC11/MAD1L1/ZNF830/CUL1/CHMP7/HUS1/SMARCB1/TAOK2/DPF1/WNT10B/BRSK1/PPP1R9B/ERCC3/DYNLRB1/LATS2/PSMA3/CCNB3/PSMA4/USP44/KDM8/TFAP4/XRCC3/TERT/PLK3/NEUROG1/PLK5/RPL24/KCNH5/SPDYA/CDC14C",302
"M12573","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS","216/9013","312/16896",5.75809702368809e-09,2.12934427935986e-05,1.93936748527656e-05,"DYNLRB2/HORMAD1/CDC20/TTK/MUC1/BUB1/BCL2/E2F8/SKA1/BIRC5/AURKB/TRIP13/NUF2/CENPF/NDC80/CCL2/LYN/BLM/CDCA8/APBB2/NEK2/CHEK1/MAD2L1/BUB1B/CDK1/SPC25/E2F7/KNL1/CDC45/EZH2/ORC1/GTPBP4/RAD51/CDT1/CHEK2/NEK11/DONSON/RAD50/DNA2/CCND1/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/TOM1L1/IER3/BMP4/DBF4/NABP1/SKA3/RFC4/SKP1/SPC24/FBXO5/DMRT1/PABIR1/ESPL1/KANK2/BRCA2/TOM1L2/GPNMB/FANCD2/TPR/ATF5/RBL1/CUL4A/DGKZ/RPS27L/GMNN/STK38/CLSPN/HEXIM2/SLFN11/CHMP4C/MTBP/RAD21/FBXO4/DTL/BMP7/RFC3/TMEM67/FHL1/INCENP/MDM1/RFWD3/NOP53/PTEN/HASPIN/ZNF655/CDKN2D/DYNC1I2/MSH2/PRKDC/NAA10/RAD17/ZWINT/SPDL1/MDC1/TP53BP1/CHMP2A/MAD2L2/ABRAXAS1/E2F1/RHNO1/GEN1/RPS6KA2/BTN2A2/ZWILCH/TNKS/DYNLT3/KLF4/ZC3H12D/CDC73/H2AX/CTDSPL/PDIK1L/DACT1/BUB3/BRCA1/HLA-G/TERF2/AVEN/DYNLL2/INTS7/PRMT2/RBBP8/CTDSP1/TPRA1/MIIP/GIGYF2/SETMAR/POC5/FEM1B/EME2/CDKN2B/NBN/EME1/ATRIP/RFC5/CHFR/TIPRL/TIMELESS/LIF/RFC2/MRE11/PROX1/NAE1/WAPL/MBTPS1/BCL6/KNTC1/PARP9/DOT1L/OVOL1/NPM1/PKMYT1/TOPBP1/APC/CCNF/NSUN2/XPC/NUBP1/CDK2/WAC/IK/MAPK14/CLOCK/SYF2/SMARCA5/ETAA1/CRLF3/ATRX/ATF2/BRD7/DCUN1D3/RAD1/PINX1/ERCC6/GPR132/CDC5L/ATR/SIRT1/TIPIN/PKD2/STK33/MRNIP/TAOK1/ACVR1/CTDSP2/DUSP1/GNB1L/RAD9A/ATM/RINT1/HINFP/RPA4/RBL2/RNASEH2B/CDC14B/MAD1L1/ZNF830/BAZ1B/CUL1/HUS1/MUS81/TAOK2/BRSK1/DYNLRB1/CEP63/DAB2IP/USP44/XRCC3/PLK3/GPR15LG",216
"M18074","GOBP_DNA_TEMPLATED_DNA_REPLICATION","127/9013","171/16896",1.27849510256368e-08,3.54590616696038e-05,3.22954591829179e-05,"DACH1/MCM10/E2F8/CCNE1/EXO1/BLM/ORC6/E2F7/CDC45/ORC1/RAD51/GINS4/CDT1/DONSON/RAD50/DNA2/POLQ/CDC6/CDC7/TICRR/DBF4/SAMHD1/GINS1/RFC4/PURA/MCM7/MCM4/FBXO5/MCM2/CCNE2/MCM5/BRCA2/DBF4B/CUL4A/FEN1/GMNN/MCM6/POLA2/SLFN11/FAM111B/TK1/DTL/RFC3/MCM8/PRIM2/GINS3/POLD1/RFWD3/DDX11/PHIP/GEN1/TONSL/ZNF365/MCM3/WDHD1/FBH1/POLD4/LRR1/BRCA1/ZPR1/TERF2/CDK2AP1/TEFM/EXD2/SENP2/TRAIP/RBBP8/LIG3/ATAD5/SETMAR/NYNRIN/CDC34/EME2/ORC3/ASF1A/NBN/EME1/RFC5/POLD3/TIMELESS/PRIMPOL/CHRAC1/RFC2/MRE11/ELOC/METTL4/BCL6/WRNIP1/RECQL/PCNA/OOEP/BAZ1A/ELOB/TOPBP1/MCMBP/RECQL5/CUL2/CDK2/ORC2/MCM9/CARM1/ETAA1/POLA1/REV3L/ATRX/FAM111A/POLD2/POLE3/CIZ1/POLE/ATR/TIPIN/POLG/TWNK/RRM2B/WIZ/LRWD1/RPA4/WDR18/CUL4B/NOC3L/ZNF830/MUS81/UPF1/POLN/XRCC3/KHDC3L",127
"M12829","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","259/9013","386/16896",1.96510471118847e-08,4.36017433318498e-05,3.97116634162066e-05,"GATA3/FOXC1/DYNLRB2/HORMAD1/CDC20/TTK/MUC1/BUB1/BCL2/E2F8/SKA1/BIRC5/AURKB/CDKN2A/TRIP13/NUF2/CENPF/NDC80/CCL2/CDK6/LYN/RHOB/BLM/CDCA8/APBB2/RUNX3/BTG3/NEK2/CHEK1/MAD2L1/BUB1B/CDK1/SPC25/HPGD/E2F7/KNL1/CDC45/EZH2/ORC1/GTPBP4/RAD51/CDT1/CHEK2/NHERF1/LILRB1/NEK11/DONSON/RAD50/DNA2/CCND1/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/TOM1L1/IER3/BMP4/DBF4/NABP1/SKA3/YTHDC2/RFC4/SKP1/SPC24/MEIOC/FBXO5/DMRT1/PABIR1/TNF/ALOX15B/ESPL1/ETS1/KANK2/HOXC9/BRCA2/TOM1L2/GPNMB/FANCD2/TPR/ATF5/RBL1/CUL4A/DGKZ/RPS27L/GMNN/STK38/CLSPN/HEXIM2/SLFN11/CHMP4C/MTBP/TP53BP2/RAD21/FBXO4/DTL/BMP7/RFC3/TMEM67/ANGEL2/FHL1/INCENP/MDM1/RFWD3/NOP53/PTEN/HASPIN/ZNF655/CDKN2D/DYNC1I2/MSH2/PRKDC/NAA10/RAD17/ZWINT/SPDL1/MDC1/TP53BP1/MAPK12/CHMP2A/MAD2L2/FZD3/ABRAXAS1/E2F1/RHNO1/GEN1/RPS6KA2/SUV39H1/BTN2A2/ZWILCH/TNKS/DYNLT3/KLF4/IL10/ZC3H12D/CDC73/H2AX/NUDT6/CTDSPL/PDIK1L/DACT1/PML/CTNNB1/BUB3/BMP2/BRCA1/HLA-G/TERF2/SCRIB/AVEN/DYNLL2/INTS7/PRMT2/RBBP8/CTDSP1/TPRA1/MIIP/GIGYF2/SETMAR/POC5/FEM1B/EME2/CDKN2B/NBN/EME1/ATRIP/RFC5/CHFR/TIPRL/HECA/TIMELESS/LIF/RFC2/MRE11/PROX1/PPP1R13B/NAE1/WAPL/MBTPS1/BCL6/KNTC1/PARP9/DOT1L/OVOL1/NPM1/PKMYT1/TOPBP1/APC/CCNF/NSUN2/XPC/NUBP1/CDK2/WAC/IK/MAPK14/CLOCK/SYF2/SMARCA5/ETAA1/CRLF3/ATRX/ATF2/BRD7/DCUN1D3/RAD1/PINX1/ERCC6/GPR132/CDC5L/ATR/SIRT1/CDKN1B/TIPIN/PKD2/STK33/NLRP2B/MRNIP/TAOK1/ACVR1/CTDSP2/LATS1/NR4A1/THAP5/DUSP1/GNB1L/RAD9A/ATM/RINT1/CASP3/HINFP/HTRA2/RPA4/RBL2/RNASEH2B/CDC14B/MAD1L1/ZNF830/BAZ1B/CUL1/HUS1/MUS81/TAF6/TAOK2/TP53I13/BRSK1/DYNLRB1/TSPYL2/CEP63/LATS2/DAB2IP/RRP8/USP44/TFAP4/XRCC3/PLK3/GPR15LG/BRINP1",259
"M13508","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","167/9013","236/16896",2.79670848579454e-08,5.17111399023411e-05,4.70975522020032e-05,"FOXC1/DYNLRB2/CDC20/TTK/MUC1/BUB1/BCL2/SKA1/BIRC5/AURKB/TRIP13/NUF2/CENPF/NDC80/CCL2/BLM/CDCA8/BTG3/CHEK1/MAD2L1/BUB1B/CDK1/SPC25/E2F7/KNL1/EZH2/ORC1/GTPBP4/CHEK2/NHERF1/NEK11/DONSON/RAD50/CCND1/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/TOM1L1/IER3/BMP4/DBF4/NABP1/SKA3/YTHDC2/SPC24/MEIOC/FBXO5/PABIR1/TNF/KANK2/TOM1L2/GPNMB/FANCD2/TPR/RBL1/DGKZ/RPS27L/GMNN/CLSPN/HEXIM2/SLFN11/CHMP4C/MTBP/RAD21/DTL/BMP7/ANGEL2/FHL1/INCENP/RFWD3/NOP53/PTEN/HASPIN/ZNF655/CDKN2D/DYNC1I2/MSH2/PRKDC/RAD17/ZWINT/SPDL1/MDC1/MAD2L2/FZD3/ABRAXAS1/GEN1/BTN2A2/ZWILCH/DYNLT3/KLF4/IL10/ZC3H12D/CDC73/CTDSPL/PDIK1L/DACT1/PML/CTNNB1/BUB3/BRCA1/SCRIB/AVEN/DYNLL2/PRMT2/RBBP8/CTDSP1/TPRA1/MIIP/GIGYF2/SETMAR/EME2/CDKN2B/NBN/EME1/CHFR/HECA/TIMELESS/MRE11/NAE1/MBTPS1/BCL6/KNTC1/OVOL1/PKMYT1/TOPBP1/APC/XPC/CDK2/WAC/IK/SYF2/ETAA1/CRLF3/ATF2/BRD7/DCUN1D3/PINX1/GPR132/ATR/CDKN1B/TIPIN/PKD2/STK33/MRNIP/TAOK1/ACVR1/CTDSP2/DUSP1/RAD9A/ATM/RINT1/RBL2/CDC14B/MAD1L1/ZNF830/HUS1/MUS81/TAOK2/BRSK1/DYNLRB1/USP44/XRCC3/PLK3/BRINP1",167
"M48894","HP_ABNORMAL_LEUKOCYTE_PHYSIOLOGY","236/9013","350/16896",4.40499521656089e-08,6.62977682527454e-05,6.03827841942162e-05,"GATA3/CDCA7/DSG1/MCM10/IGHM/IL6ST/IGKC/CPLX1/SPIB/KRT5/LYN/BLM/EGFR/SLC5A6/IL2RA/STAT1/LRBA/PLCG2/TNFSF15/TLR8/LCK/IL7R/IFIH1/CTPS1/CYBB/CTLA4/CCNO/TYMS/POU2AF1/PRF1/OAS1/DNMT3B/PSMB9/PTPRC/BCL11B/PIK3R1/NCF1/RAD50/NCF2/CARD10/CCND1/JAK3/IL2RG/LCP2/ICOS/AK2/CARD9/GPC4/FAS/KNSTRN/SEMA4D/SLC46A1/SLC39A4/CYBA/DCLRE1C/IL21R/MMEL1/ADA/IRF8/CD3D/ITK/TNFRSF11A/COL1A1/SLC7A7/CD247/SH2D1A/TIMM8A/PIK3CD/RELB/MSN/NSD2/HLA-DQB1/STX11/SAMD9L/FNIP1/PNP/CXCR4/CD40/TNFRSF1B/IRF4/IL2RB/SLC19A1/HLA-DQA1/GPC3/NRAS/TCN2/CORO1A/CD27/FASLG/CD3G/IKBKB/IKZF1/MAN2B2/SASH3/MTHFD1/OTULIN/ORAI1/FAT4/TTC7A/PIGT/IL12RB1/POLD1/RECQL4/PTEN/TCF4/ZBTB24/IL6R/ADAM17/SIK3/SLC25A13/RAI1/NCKAP1L/SEL1L/SH3KBP1/MALT1/IRF1/MOGS/SYK/ZEB2/DNAJC21/GPI/ICOSLG/HELLS/FBXL4/TONSL/NFKB2/DOCK2/RBM8A/ZAP70/BTK/UHRF1/PGM3/PSTPIP1/SPPL2A/SPI1/TFRC/TNFRSF9/IL12A/TARS1/HLA-DRB1/ADAMTS3/UNC13D/CD70/IVNS1ABP/WIPF1/MAP3K14/ITCH/NLRC4/IRF5/RAB27A/DOCK8/SKIC3/TCF3/FOXN1/NBN/RAC2/IFNGR1/FLNA/POLD3/TNPO3/UNG/TRMU/AARS1/CISD2/PIK3CG/PSMB4/PIGG/CASP10/ESS2/NAE1/DEF6/PSMB10/PSMB8/HIRA/MYD88/CSNK2A1/GTF2E2/SCARB2/IRF2BP2/CD3E/NFKBIA/XIAP/CAVIN1/KRAS/CIITA/DRG1/AP3B1/NHLRC2/UMPS/KDM6A/GTF2H5/SLC35C1/PRKCD/MRTFA/STAT5B/MST1/COL7A1/RREB1/BCL10/SLF2/NSMCE3/POLE/ATP6AP1/IL17RA/TRNT1/COG6/RFX5/ERMAP/MAN2B1/TRAF3/ATM/CARS1/ARPC5/STIM1/CARD11/PDCD1/UFD1/WAS/GPR35/MPLKIP/SETX/CD40LG/SKIC2/ERCC3/TNFRSF13B/SFTPC/LMNA/CNBP/IKBKG/ARHGEF1/FOXP3/SON/KRT9/PTCRA/CARMIL2/TERT",236
"M35906","HP_COLITIS","70/9013","86/16896",4.78080174889096e-08,6.62977682527454e-05,6.03827841942162e-05,"RET/INAVA/SEMA3C/NRTN/LYN/SREBF1/STAT1/LRBA/PLCG2/FERMT1/PRF1/ERBB3/MYH11/TNFAIP3/FAS/SEMA4D/DKC1/NCF4/IL10RA/PIK3CD/ELF4/STX11/EDNRB/ERBB2/IRF4/FASLG/NOD2/TTC7A/TCF4/IL6/ATP7A/ECE1/SYK/DCLRE1B/DOCK2/MAP3K7/ZAP70/PSTPIP1/FCN3/UNC13D/IVNS1ABP/NLRC4/HPS1/SKIC3/SMO/PIK3CG/CASP10/DEF6/PSMB10/FCHO1/XIAP/CIITA/ABCD1/POLA1/IL10RB/ACADVL/MST1/BCL10/GPIHBP1/TRAF3/PIGY/NOP10/CARD11/WAS/GPR35/SKIC2/MASP2/FOXP3/CARMIL2/IL37",70
"M35735","HP_ABNORMAL_LARGE_INTESTINE_MORPHOLOGY","293/9013","446/16896",5.65359027996543e-08,6.69513747115144e-05,6.09780768984493e-05,"RET/CEACAM6/SLC6A14/INAVA/IGHM/BUB1/COL14A1/SETBP1/GSTM3/SEMA3C/CDKN2A/TRIP13/NRTN/AURKA/FGFR3/LYN/BLM/MID1/SOX10/SREBF1/TTC8/STAT1/LRBA/ZNF423/PLCG2/FERMT1/BUB1B/BBS4/CYBB/CTLA4/EDNRA/SERPINA1/LZTFL1/RAD51/PRF1/UBE2T/KITLG/FANCB/ARMC9/RPS29/BBIP1/CHEK2/ERBB3/COX7B/BBS1/MYH11/NCF1/TNFAIP3/KCNN4/TLR2/NCF2/CCND1/JAK3/ARL3/RAD54B/ITGB2/SCLT1/FANCA/FAS/DHCR7/SEMA4D/TCTN1/DKC1/NCF4/CYBA/SLC11A1/MCC/TOGARAM1/TYMP/RHBDF2/L1CAM/FANCE/KIT/PDE11A/COL1A1/IL10RA/CCDC28B/PDGFRL/PIK3CD/BRCA2/UBR1/ELF4/FANCD2/STX11/EDNRB/AXIN2/FLNB/ERBB2/PIBF1/FANCI/SLC6A8/IRF4/PIGV/COL5A1/TFAP2A/NRAS/PIGN/CEP120/FASLG/DLC1/RPS15A/NOD2/MDM2/IFT74/TTC7A/TMEM67/RABL3/C1S/HMOX1/BBS5/RPS6KA3/TCOF1/POLD1/HCCS/RFWD3/RECQL4/NF1/PTEN/DCTN4/FCGR2A/TCF4/IL6/SLC26A9/FANCG/MSH2/PALLD/CCNQ/NAA10/PGAP3/ATP7A/F13A1/SEC23B/NPHP1/MAD2L2/ECE1/RPL15/SYK/ZEB2/CEP290/DCLRE1B/COL5A2/DOCK2/MUTYH/MAP3K7/LMOD1/RNF43/AAGAB/ZAP70/BCOR/MSH3/TMEM218/BRAF/MSH6/SMAD4/KATNIP/BBS10/HEATR3/CDK8/TMEM237/AKT1/PSTPIP1/POLR1B/DACT1/ZFX/CTNNB1/RPS20/MLH1/HLA-B/BUB3/BRCA1/PIGL/CFAP418/FCN3/HLA-DRB1/ARL6/UNC13D/BBS7/IVNS1ABP/POLR1C/BBS2/B9D1/IFT27/CEP19/SNAI2/NLRC4/DOCK8/HPS1/CC2D2A/SKIC3/RPL35A/FANCF/BMPR1A/VANGL1/RAC2/BBS12/TCTN3/CEP57/SMO/CEP104/PIK3CG/RFC2/PIK3CA/CASP10/MINPP1/DEF6/PSMB10/HIRA/FANCL/GTF2IRD2/OFD1/FRYL/FCHO1/SCAPER/NFKBIA/SRC/APC/XIAP/NSUN2/KRAS/CIITA/ABCD1/MLH3/ARPC1B/WDPCP/FANCC/SEMA4A/POLA1/SALL1/CLIP2/DICER1/IL10RB/BBS9/ATRX/PDGFRA/INPP5E/ACADVL/PTPRJ/MST1/RREB1/BCL10/PRKAR1A/CPLANE1/POLE/POLG/RPS26/GPIHBP1/COG6/NIPBL/DNAJC30/GTF2I/KIFBP/PRMT7/TRAF3/PIGY/ATM/NOP10/PDE6D/TUBA1A/CARD11/FLCN/EPCAM/XRCC2/UFD1/WAS/PKD1/MAD1L1/BAZ1B/BUD23/B9D2/BAX/GPR35/MBD4/SKIC2/LIMK1/LMNA/TCTN2/MED12/OTUD5/FKBP6/KIAA0586/RPL18/IKBKG/MASP2/FOXP3/MEFV/LBX1/CEACAM3/RPL9/RPL11/CARMIL2/DCC/IL37/PAX3",293
"M15372","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","300/9013","458/16896",6.03491749698164e-08,6.69513747115144e-05,6.09780768984493e-05,"DYNLRB2/HORMAD1/CDC20/TTK/MUC1/KIF14/FAM83D/BUB1/UBD/BCL2/ANLN/CCNE1/SKA1/BIRC5/AURKB/UBE2C/DLGAP5/HSPA2/CDKN2A/NEK10/TRIP13/NUF2/CENPF/NDC80/STIL/FGF10/AURKA/CCL2/TP63/LYN/BLM/CDCA8/EGFR/APBB2/CENPE/PSMA5/CDC25A/CHEK1/MAD2L1/SMARCE1/PLCG2/BUB1B/CDK1/SPC25/E2F7/RRM2/KNL1/CDC45/RAB11A/EZH2/ORC1/GTPBP4/RAD51/CDC25B/CDT1/CHEK2/NEK11/DONSON/BID/RAD50/DNA2/SIX3/CCND1/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/IER3/DBF4/NABP1/MN1/APPL2/SKA3/RFC4/SKP1/SPC24/CDC25C/PBX1/FBXO5/PPP2CA/PABIR1/STXBP4/CCNE2/CDK16/ESPL1/KANK2/BRCA2/GPNMB/FANCD2/RIOK2/TPR/DBF4B/CTC1/ATF5/RBL1/CUL4A/CDK17/ANXA1/DGKZ/RPS27L/ANKRD17/STK38/CLSPN/HEXIM2/SLFN11/CHMP4C/MTBP/PAGR1/RAD21/SIN3A/FBXO4/DTL/RFC3/MDM2/CUL3/CCNH/KLHL18/MLF1/FHL1/INCENP/RFWD3/NOP53/PTEN/HASPIN/ZNF655/ADAMTS1/CDKN2D/ADAM17/ANAPC7/ARID1B/DYNC1I2/MSH2/PSMB2/CCNQ/PRKDC/RAD17/ZWINT/SPDL1/MDC1/KLF11/TP53BP1/ACTL6A/UBE2E2/MAD2L2/ABRAXAS1/E2F1/RHNO1/GEN1/TFDP1/BTN2A2/ARID2/RCC2/ZWILCH/DYNLT3/EIF4G1/KLF4/ZC3H12D/CDC73/H2AX/CTDSPL/AKT1/PDIK1L/CDK18/DACT1/SMARCA2/PSMA7/AIF1/BUB3/BRCA1/NSMCE2/AVEN/DYNLL2/SENP2/INTS7/PRMT2/RBBP8/CDKN2C/CDK14/CTDSP1/PSMA2/RDX/TPRA1/MIIP/GIGYF2/ATAD5/SETMAR/FEM1B/EME2/TCF3/CDKN2B/NBN/SASS6/EME1/ATRIP/RFC5/CHFR/TIPRL/TIMELESS/SMARCA4/CDK4/PSMB4/RFC2/MRE11/PROX1/NAE1/MBTPS1/KNTC1/PARP9/DOT1L/OVOL1/NPM1/CDK7/PKMYT1/TOPBP1/APC/CCND2/NSUN2/XPC/PHF10/RAD51B/CDK2/WAC/IK/KMT2E/MAPK14/CLOCK/SYF2/ETAA1/CRLF3/SIRT2/ATF2/BRD7/DCUN1D3/RAD1/PINX1/SMARCC2/ERCC6/CPSF3/GPR132/CDC5L/LSM10/ATR/CDKN1B/TIPIN/PKD2/STK33/MNAT1/MRNIP/RRM2B/TAOK1/ACVR1/CTDSP2/PBRM1/DUSP1/TBX2/PSME1/GNB1L/RAD9A/ATM/RINT1/HINFP/NPM2/RPA4/FBXW7/RBL2/RNASEH2B/PKD1/CUL4B/CDC14B/ANAPC11/MAD1L1/ZNF830/CUL1/HUS1/SMARCB1/MUS81/ING4/TAOK2/DPF1/WNT10B/BRSK1/PPP1R9B/ERCC3/DYNLRB1/CEP63/PSMA3/PSMA4/USP44/GLI1/TFAP4/XRCC3/TERT/PLK3/GPR15LG/NEUROG1/PLK5/KCNH5/CDC14C",300
