"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M37952","HP_ABNORMAL_LEUKOCYTE_COUNT","308/8184","492/16896",1.02910831825622e-10,1.14097239245067e-06,1.03495798659157e-06,"AGR2/CDCA7/IL6ST/LRBA/IGHM/LYN/IL7R/RRAS2/GATA2/SPRED2/RARA/HBB/FAS/MCM10/C4A/FUT8/IL2RA/IGHG1/BCL11B/TLR8/PTPRC/TNFAIP3/SLC46A1/IL7/FCGR2B/FCGR3B/NABP1/LBR/SREBF1/IFIH1/AK2/PRF1/ETS1/ITGB2/ATP11A/PSMB9/ETV6/FANCB/IL1RN/CTLA4/IVD/RELB/MSN/JAK3/PTPN22/MALT1/SAMD9L/NOTCH1/RPS24/CXCR4/CARD10/PIK3CD/BRCA1/IL2RG/RAB27A/RPS29/LCP2/CTPS1/JAK2/SAT1/CARD9/LACC1/IKZF1/IFNG/SYK/G6PC3/NAF1/FCGR2A/FIP1L1/DCLRE1C/CORO1A/IRF8/ICOS/LMNB2/RPS15A/RAD51C/KIT/CHD7/STN1/CD247/PIK3R1/FBXL4/TRPV6/ITK/KIAA0319L/TRAC/ADAMTS3/SH2D1A/CR2/STX11/STAT1/MMAA/FNIP1/CD3D/DOCK8/CBL/FANCA/GSS/IFNGR1/IRF4/ITGAM/IRF1/BRCA2/TTC7A/ATP6AP1/CD3G/NRAS/SLC7A7/ZPR1/TCF3/HLA-DRB1/AGA/CD40/NFKB2/OTULIN/DNMT3B/DNAJC21/MAN2B2/USB1/RBM8A/RAC2/TBL1XR1/TPP2/NUMA1/ELF4/CAMK2B/IVNS1ABP/TFRC/BRAF/FAT4/ZBTB24/ADA/CDC40/IKZF3/IRAK1/ASXL1/NCKAP1L/FANCE/TNFRSF9/PML/FANCG/SASH3/FASLG/DOCK2/FERMT3/MECOM/BACH2/VPS13B/CIITA/ORAI1/ZAP70/RFXAP/RUNX1/TCN2/TRNT1/DKC1/TBXAS1/UNC13D/NLRP3/CXCR2/RAD51/EOGT/MDM4/RFWD3/PRKAR1A/TARS1/NAE1/POLD3/FANCD2/G6PD/RPL15/GALE/FOXN1/STAT3/CD79B/PTEN/FH/PGM3/PRKDC/ICOSLG/DCLRE1B/BCOR/CALR/PNP/BTK/MMUT/ARPC5/GTF2E2/KRAS/MAP3K14/DNASE1/FANCI/SLC30A7/MAD2L2/MECP2/STAT4/PIK3CG/FANCL/MMAB/PSMB10/CARS1/NFKBIA/MTHFD1/ANAPC1/MVK/RPA1/SLF2/SMARCD2/RPS28/ITCH/USP8/LIG4/PDGFRA/SF3B1/NCAPG2/TBX2/PPFIA3/HSCB/DOCK11/NHLRC2/TINF2/IRF2BP2/VPS33A/MYD88/POLD1/REL/THPO/PIGA/FAAP100/PRKCD/TBK1/SLC35C1/RFX5/SGPL1/SPI1/FANCC/HMGCL/ERCC6L2/JAZF1/SCARB2/RPS19/RPS26/CAPN3/XIAP/SLX4/ARHGAP31/CASP10/UNC119/SLC27A4/IL10/SRP68/CYBC1/MYSM1/PSMB4/HEATR3/BCR/SRP19/SLC19A1/CD3E/TNIP1/TBX21/STIM1/FANCF/IARS2/SRP54/MMACHC/RPL5/ARPC1B/TNFRSF1A/STAT2/CTNNBL1/RAG1/C1GALT1C1/ISCU/HTRA2/RPS7/AMN/TRAF3/MPLKIP/USP48/SKIC3/SUPT7L/ZNF341/FANCM/DIAPH1/WAS/AP3D1/UROS/JAGN1/RBSN/NLRP12/UBE2L3/ADH5/CARD11/OTUD5/ALG12/TICAM1/IL36RN/ARHGEF1/EXTL3/FLT3LG/FBXW7/LIPA/PDCD1/IL37/RPL9/RNF31/RAG2",308
"M42607","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY","250/8184","393/16896",6.54983220847255e-10,3.07556855213795e-06,2.78979952311393e-06,"GATA3/SLC39A6/IGHA1/VTCN1/LTF/CLEC7A/CLEC4E/IGHD/GBP1/IGHM/VAV3/LYN/PDE4B/CD24/IGKC/KCNN4/BCL2/TNFRSF21/FYB2/FCN1/TLR1/IGHG3/THEMIS2/PELI1/CD38/PLCG2/TLR2/CD274/BPIFB1/IGHG1/LILRB2/PTPRC/TNFAIP3/LBP/PIK3AP1/IGLC1/CD14/FPR3/FCGR2B/FCGR3B/LCK/CEACAM1/MFHAS1/LILRB1/MAPK1/FCER1G/PRNP/CD86/FCGR2C/FCGR1BP/YES1/LILRB4/NCK1/PRKCQ/NMI/CTLA4/PDCD1LG2/PLSCR1/RAB29/FCGR1A/PTPN22/MALT1/CR1/CYBA/BLVRA/PIK3CD/FOXP1/NECTIN2/HLA-DQB1/LAPTM5/RIPK2/FYB1/LCP2/MNDA/STOML2/IFNG/SYK/FPR1/CD8A/FCGR2A/RAB7B/IRAK2/TRDC/LAG3/CD47/MIR18A/CD80/KIT/KLRD1/PLCL2/PTPN2/PAK3/CD72/CD247/PIK3R1/MAP3K7/MOG/TRAT1/KHDRBS1/BTRC/ITK/CD300A/TRAC/LAIR1/SH2D1A/C3AR1/CR2/CYLD/THEMIS/FCMR/LPXN/CD3D/TLR6/CBL/PRKCB/PAK1/ITGAM/CD3G/TRIL/KLHL6/TYROBP/HCK/APPL2/HLA-DRB1/CD40/KLRC4-KLRK1/DGKZ/PVRIG/FPR2/HLA-G/FOSL2/LILRB3/KLRK1/FGR/LAX1/BTN3A2/BRAF/MYO1G/PJA2/ADA/SOS1/FCN3/CD8B/IRAK1/NCKAP1L/NR1H3/GRB2/C5AR2/CD226/CREBBP/ZAP70/TLR4/C5AR1/HLA-DPB1/CLEC2D/IGHE/C3/BTN2A2/BTN3A3/FYN/TNIP3/CLEC4D/NFAM1/LGALS9/PHPT1/CMKLR1/MAPK9/BTLA/PAWR/DUSP22/LILRA5/CD79B/AKT1/HLA-A/MAPK8/PIK3CA/ICOSLG/LAT2/UBASH3A/BTK/VAV1/BTN3A1/RAP1A/EZR/UBE2N/LAIR2/INPP5D/MAP3K1/SLA2/HRAS/NFKBIA/PLEKHA1/SPPL3/ACOD1/MYD88/TAX1BP1/SH2B2/PRKCD/LILRA3/TBK1/KIR2DL4/LILRA6/ZC3H12A/PAK2/TIRAP/FCAR/COLEC11/PTPRJ/SLC39A10/HMGB1/CD3E/CD5/BCL10/PSEN1/NFKB1/CD33/NFKBID/PLD2/SQSTM1/BTN2A1/NAGLU/LETMD1/LILRB5/SPG21/BAG6/TRAF3/RELA/KIR2DL5A/KIR3DL2/TRAF6/LILRA2/RABGEF1/GCSAML/LIMK1/ZNF683/NR4A3/EIF2B3/NR1D1/CARD11/TICAM1/GCSAM/CMTM3/ITPRIPL1/KIR2DS4/NCR3/LIPA/KIR2DS2/PDCD1/RNF31/KIR3DL3",250
"M50901","HP_ABNORMAL_LYMPHOCYTE_COUNT","144/8184","208/16896",8.32209403482804e-10,3.07556855213795e-06,2.78979952311393e-06,"CDCA7/IL6ST/LRBA/IGHM/LYN/IL7R/RRAS2/GATA2/SPRED2/FAS/MCM10/IL2RA/BCL11B/TLR8/PTPRC/TNFAIP3/IL7/LBR/IFIH1/AK2/ATP11A/PSMB9/CTLA4/MSN/JAK3/MALT1/CXCR4/PIK3CD/IL2RG/LCP2/CTPS1/SAT1/CARD9/IKZF1/SYK/G6PC3/NAF1/DCLRE1C/CORO1A/ICOS/LMNB2/CHD7/STN1/CD247/PIK3R1/FBXL4/ADAMTS3/SH2D1A/CR2/STAT1/FNIP1/CD3D/DOCK8/IRF4/IRF1/TTC7A/CD3G/NRAS/TCF3/HLA-DRB1/NFKB2/DNMT3B/MAN2B2/RAC2/TPP2/ELF4/IVNS1ABP/BRAF/FAT4/ZBTB24/ADA/IKZF3/IRAK1/NCKAP1L/TNFRSF9/SASH3/FASLG/DOCK2/CIITA/ORAI1/ZAP70/RFXAP/TCN2/TRNT1/MDM4/NAE1/POLD3/GALE/FOXN1/CD79B/PTEN/PGM3/PRKDC/ICOSLG/DCLRE1B/PNP/BTK/KRAS/MAP3K14/STAT4/PIK3CG/PSMB10/NFKBIA/MTHFD1/RPA1/USP8/NCAPG2/TBX2/TINF2/MYD88/POLD1/REL/PRKCD/RFX5/SGPL1/SPI1/XIAP/CASP10/UNC119/CYBC1/MYSM1/PSMB4/SRP19/SLC19A1/CD3E/STIM1/ARPC1B/STAT2/CTNNBL1/RAG1/C1GALT1C1/TRAF3/USP48/SKIC3/WAS/RBSN/CARD11/ALG12/IL36RN/ARHGEF1/EXTL3/FLT3LG/RNF31/RAG2",144
"M36463","HP_DECREASED_CIRCULATING_IMMUNOGLOBULIN_CONCENTRATION","157/8184","233/16896",3.20603929042793e-09,8.13757440378401e-06,7.3814648596272e-06,"CDCA7/KRT5/CPLX1/IL6ST/LRBA/IGHM/LYN/CCND1/IGKC/PLCG2/FAS/SLC5A6/IL2RA/TLR8/PTPRC/SLC46A1/LCK/IFIH1/AK2/PRF1/PSMB9/CTLA4/MSN/TNFRSF11A/JAK3/RAD50/MALT1/SAMD9L/CXCR4/BLM/PIK3CD/IL2RG/PIGT/HLA-DQB1/CTPS1/IL6R/TYMS/IL21R/IKZF1/SYK/HLA-DQA1/DCLRE1C/CORO1A/ICOS/CD247/PIK3R1/FBXL4/SH3KBP1/ITK/ADAMTS3/SH2D1A/TIMM8A/CR2/STX11/CCNO/FNIP1/CD3D/DOCK8/IRF4/TTC7A/ATP6AP1/CD3G/SLC7A7/TCF3/CD27/CD40/NFKB2/OTULIN/DNMT3B/MAN2B2/RBM8A/RAC2/IVNS1ABP/TFRC/FAT4/ZBTB24/ADA/SEL1L/TNFRSF9/SASH3/ZEB2/CISD2/FASLG/BACH2/CIITA/ORAI1/ZAP70/RFXAP/MOGS/TCN2/RAI1/TRNT1/UNC13D/LETM1/TARS1/NAE1/POLD3/STAT3/CD79B/PTEN/SLC25A13/ICOSLG/BTK/PIGG/GTF2E2/PLVAP/MAP3K14/FLNA/CD70/KMT2D/PIK3CG/NSD2/PSMB10/CARS1/SPPL2A/NFKBIA/MTHFD1/RPA1/ITCH/DOCK11/CSNK2A1/NHLRC2/IRF2BP2/VPS33A/POLD1/REL/HYOU1/SIK3/PRKCD/SLC35C1/RFX5/SPI1/TRMU/XIAP/CASP10/MYSM1/SLC19A1/CD3E/BCL10/NFKB1/STIM1/MAN2B1/STAT2/CTNNBL1/RAG1/TRAF3/MPLKIP/SKIC3/ZNF341/WAS/CARD11/CTBP1/ALG12/ARHGEF1/EXTL3/RNF31/RAG2",157
"M38957","HP_ABNORMAL_CIRCULATING_IGM_CONCENTRATION","89/8184","119/16896",3.66987210416885e-09,8.13757440378401e-06,7.3814648596272e-06,"IL6ST/SPIB/LRBA/LYN/TNFSF15/IGKC/POU2AF1/PLCG2/FAS/PTPRC/LCK/MMEL1/CTLA4/TNFRSF11A/JAK3/BLM/PIK3CD/SEMA4D/IL2RG/PIGT/IL6R/TYMS/SYK/ICOS/CD247/PIK3R1/SH3KBP1/SH2D1A/CR2/FNIP1/DOCK8/IFNGR1/IRF4/IL12RB1/ATP6AP1/TCF3/CD40/NFKB2/OTULIN/DNMT3B/MAN2B2/RAC2/TPP2/IVNS1ABP/ZBTB24/IL12A/ADA/SASH3/FASLG/BACH2/ORAI1/RFXAP/MOGS/TCN2/NAE1/POLD3/TCF4/CD79B/PGM3/BTK/MAP3K14/PIK3CG/PSMB10/SPPL2A/NFKBIA/DOCK11/IRF2BP2/VPS33A/MYD88/POLD1/SIK3/RFX5/SPI1/XIAP/CASP10/CD3E/STIM1/TNPO3/STAT2/RAG1/TRAF3/WAS/CARD11/GPR35/ALG12/ARHGEF1/EXTL3/PDCD1/RAG2",89
"M48894","HP_ABNORMAL_LEUKOCYTE_PHYSIOLOGY","223/8184","350/16896",4.46011208918727e-09,8.24154378880322e-06,7.47577384212197e-06,"GATA3/CDCA7/DSG1/KRT5/EGFR/CPLX1/IL6ST/SPIB/LRBA/IGHM/LYN/CCND1/TNFSF15/IGKC/IL7R/CYBB/POU2AF1/PLCG2/FAS/MCM10/SLC5A6/IL2RA/BCL11B/TLR8/PTPRC/SLC46A1/LCK/IFIH1/AK2/PRF1/NCF1/MMEL1/PSMB9/CTLA4/NCF2/RELB/MSN/TNFRSF11A/JAK3/RAD50/MALT1/SAMD9L/CXCR4/CARD10/CYBA/BLM/PIK3CD/SEMA4D/IL2RG/PIGT/RAB27A/HLA-DQB1/LCP2/CTPS1/IL6R/TYMS/CARD9/IL2RB/IL21R/IKZF1/SYK/HLA-DQA1/DCLRE1C/CORO1A/IRF8/ICOS/CD247/PIK3R1/FBXL4/SH3KBP1/ITK/ADAMTS3/SH2D1A/TIMM8A/CR2/STX11/STAT1/CCNO/FNIP1/TNFRSF1B/CD3D/DOCK8/IFNGR1/IRF4/IRF1/TTC7A/IL12RB1/ATP6AP1/CD3G/NRAS/SLC7A7/TCF3/CD27/HLA-DRB1/COL1A1/CD40/NFKB2/ADAM17/OTULIN/DNMT3B/DNAJC21/MAN2B2/RBM8A/RAC2/TPP2/WIPF1/IVNS1ABP/TFRC/FAT4/ZBTB24/IL12A/ADA/SEL1L/NCKAP1L/PSTPIP1/GPI/TNFRSF9/PSMB8/SASH3/ZEB2/CISD2/FASLG/DOCK2/BACH2/CIITA/ORAI1/ZAP70/RFXAP/MOGS/TCN2/RAI1/TRNT1/UNC13D/LETM1/TARS1/NAE1/POLD3/FOXN1/TCF4/STAT3/CD79B/PTEN/PGM3/SLC25A13/ICOSLG/PNP/BTK/PIGG/ARPC5/GTF2E2/KRAS/PLVAP/MAP3K14/FLNA/IL17RA/CD70/KMT2D/PIK3CG/NSD2/PSMB10/CARS1/SPPL2A/NFKBIA/MTHFD1/MVK/RPA1/SLF2/ITCH/LIG4/DOCK11/CSNK2A1/JMJD1C/NHLRC2/IRF2BP2/VPS33A/MYD88/POLD1/REL/HYOU1/SIK3/PRKCD/ESS2/SLC35C1/RFX5/SPI1/NLRC4/SCARB2/TRMU/XIAP/CASP10/CYBC1/MYSM1/PSMB4/SLC19A1/HIRA/CD3E/BCL10/NFKB1/STIM1/MAN2B1/SRP54/MRTFA/TNPO3/STAT2/UMPS/CTNNBL1/RAG1/TRAF3/MPLKIP/DRG1/SKIC3/ZNF341/WAS/CARD11/GPR35/CTBP1/ALG12/ARHGEF1/EXTL3/FLT3LG/PDCD1/RNF31/RAG2",223
"M36504","HP_GASTROINTESTINAL_INFLAMMATION","129/8184","186/16896",5.22622733181429e-09,8.2775974896893e-06,7.50847758318102e-06,"RET/DSG1/MMP1/SLC2A10/FERMT1/SPIB/LRBA/LYN/TNFSF15/INAVA/PHGDH/POU2AF1/PLCG2/FAS/NRTN/SEMA3C/TTC8/BBS4/TNFAIP3/LAMC2/GLRB/BBS1/ERBB3/SREBF1/PRF1/TGFB3/MMEL1/CTLA4/NCF2/LAMB3/NCF4/STXBP1/CARD10/PIK3CD/SEMA4D/TGFB2/BBIP1/MYH11/IL10RA/GPHN/SYK/IFT27/CEP290/MAP3K7/ERBB2/LZTFL1/STX11/STAT1/FNIP1/SMAD3/DOCK8/GRB10/IRF4/EDNRB/LAMA3/TTC7A/IL12RB1/HLA-B/HLA-DRB1/NPHP1/ELF4/IVNS1ABP/SCLT1/IL12A/FCN3/PSTPIP1/SLC9A3/MKS1/EDN3/FASLG/DOCK2/BACH2/CIITA/ZAP70/DKC1/UNC13D/ATAD1/CFAP418/IL6/ZFX/TCF4/STAT3/FH/PGM3/BBS7/ECE1/DCLRE1B/IFT74/BBS10/HPS1/SDCCAG8/BBS5/PIK3CG/PSMB10/NFKBIA/SMO/ATP7A/CDKN1B/PPFIA3/DOCK11/IL10RB/REL/ARL6/TRAPPC11/IARS1/NLRC4/BBS9/XIAP/CASP10/FXN/PIGY/CEP19/CYBC1/SMAD2/BBS2/IFT172/WDPCP/BCL10/TNPO3/CHD8/ARPC1B/GPIHBP1/TRAF3/SKIC3/WAS/LMX1B/CARD11/GPR35/IL37",129
"M36474","HP_ABNORMAL_LYMPHOCYTE_MORPHOLOGY","172/8184","261/16896",7.46758827810132e-09,1.03491439049137e-05,9.38754452749737e-06,"CDCA7/IL6ST/LRBA/IGHM/LYN/IL7R/RRAS2/PLCG2/GATA2/SPRED2/FAS/MCM10/IL2RA/BCL11B/TLR8/PTPRC/TNFAIP3/IL7/RHOH/LCK/LBR/IFIH1/AK2/ATP11A/PSMB9/MYC/CTLA4/MSN/JAK3/MALT1/CXCR4/BLM/PIK3CD/IL2RG/LCP2/CTPS1/SAT1/IL6R/CARD9/IL2RB/IKZF1/SYK/MCM4/G6PC3/NAF1/CD8A/SOCS1/DCLRE1C/CORO1A/ICOS/LMNB2/CHD7/STN1/CD247/PIK3R1/FBXL4/ITK/ADAMTS3/SH2D1A/CR2/STAT1/FNIP1/TNFRSF1B/CD3D/DOCK8/IRF4/IRF1/TTC7A/CD3G/NRAS/TCF3/HLA-DRB1/AGA/NFKB2/OTULIN/DNMT3B/MAN2B2/RAC2/TPP2/ELF4/WIPF1/IVNS1ABP/BRAF/FAT4/ZBTB24/ADA/IKZF3/IRAK1/NCKAP1L/TNFRSF9/SASH3/FASLG/DOCK2/BACH2/CIITA/ORAI1/ZAP70/RFXAP/TCN2/TRNT1/HLA-DPB1/MDM4/NAE1/POLD3/GALE/FOXN1/CD79B/PTEN/PGM3/PRKDC/ICOSLG/DCLRE1B/PNP/BTK/KRAS/MAP3K14/SLC17A5/IL17RA/CD70/KMT2D/STAT4/PIK3CG/PSMB10/NFKBIA/MTHFD1/RPA1/USP8/LIG4/NCAPG2/TBX2/TINF2/IRF2BP2/MYD88/POLD1/REL/HYOU1/PRKCD/RFX5/SGPL1/SPI1/NLRC4/XIAP/CASP10/UNC119/CYBC1/MYSM1/PSMB4/SRP19/SLC19A1/CD3E/BCL10/STIM1/MAN2B1/ARPC1B/STAT2/CTNNBL1/RAG1/C1GALT1C1/TRAF3/USP48/SKIC3/DIAPH1/WAS/RBSN/CARD11/ALG12/IL36RN/ARHGEF1/EXTL3/FLT3LG/RNF31/RAG2",172
"M38954","HP_ABNORMAL_CIRCULATING_IGA_CONCENTRATION","93/8184","129/16896",3.71048681995782e-08,4.57090748587471e-05,4.1461977868862e-05,"CPLX1/IL6ST/SPIB/LRBA/LYN/CCND1/TNFSF15/IGKC/IL7R/POU2AF1/PLCG2/FAS/IL2RA/PTPRC/LCK/MMEL1/CTLA4/TNFRSF11A/JAK3/CARD10/BLM/PIK3CD/IL2RG/PIGT/HLA-DQB1/TYMS/SYK/HLA-DQA1/DCLRE1C/ICOS/CD247/PIK3R1/CR2/CD3D/IRF4/IRF1/IL12RB1/ATP6AP1/TCF3/CD40/NFKB2/OTULIN/DNMT3B/MAN2B2/IVNS1ABP/ZBTB24/IL12A/ADA/PSMB8/SASH3/FASLG/BACH2/ORAI1/RFXAP/MOGS/TCN2/RAI1/LETM1/CD79B/PGM3/BTK/PIGG/ARPC5/MAP3K14/KMT2D/PIK3CG/NSD2/PSMB10/NFKBIA/MVK/ITCH/DOCK11/CSNK2A1/IRF2BP2/POLD1/REL/RFX5/SPI1/CASP10/CD3E/STIM1/TNPO3/STAT2/RAG1/TRAF3/ZNF341/WAS/CARD11/CTBP1/ALG12/FLT3LG/PDCD1/RAG2",93
"M36700","HP_ABNORMALITY_OF_HUMORAL_IMMUNITY","223/8184","357/16896",5.04756404717517e-08,5.59623425910311e-05,5.07625546386437e-05,"CDCA7/DSG1/KRT5/EGFR/CPLX1/IL6ST/SPIB/LRBA/IGHM/LYN/CCND1/TNFSF15/IGKC/IL7R/POU2AF1/PLCG2/FAS/C4A/SLC5A6/IL2RA/IGHG1/TLR8/PTPRC/TNFAIP3/SLC46A1/FCGR2B/FCGR3B/LCK/IFIH1/AK2/PRF1/ETS1/C1QB/MMEL1/PSMB9/C1S/C1QA/CTLA4/MSN/TNFRSF11A/JAK3/RAD50/PTPN22/MALT1/SAMD9L/CXCR4/CARD10/BLM/PIK3CD/SEMA4D/IL2RG/PIGT/HLA-DQB1/CTPS1/SAT1/IL6R/TYMS/C1QC/CARD9/IL2RB/IL21R/IKZF1/SYK/HLA-DQA1/DCLRE1C/CORO1A/IRF8/ICOS/LMNB2/CD247/PIK3R1/FBXL4/SH3KBP1/ITK/KIAA0319L/ADAMTS3/SH2D1A/TIMM8A/CR2/STX11/CCNO/FNIP1/TNFRSF1B/CD3D/DOCK8/IFNGR1/IRF4/ITGAM/IRF1/TTC7A/IL12RB1/ATP6AP1/CD3G/NRAS/SLC7A7/TCF3/CD27/HLA-DRB1/COL1A1/CD40/NFKB2/ADAM17/OTULIN/DNMT3B/MAN2B2/RBM8A/RAC2/TPP2/IVNS1ABP/TFRC/FAT4/ZBTB24/IL12A/ADA/SEL1L/IRAK1/NCKAP1L/PSTPIP1/TNFRSF9/PSMB8/SASH3/ZEB2/CISD2/FASLG/CD46/BACH2/CIITA/ORAI1/ZAP70/RFXAP/MOGS/TCN2/RAI1/TRNT1/UNC13D/LETM1/C3/TARS1/NAE1/C5/POLD3/TCF4/STAT3/CD79B/PTEN/PGM3/SLC25A13/ICOSLG/BTK/PIGG/ARPC5/GTF2E2/KRAS/PLVAP/MAP3K14/DNASE1/FLNA/CD70/MECP2/KMT2D/STAT4/PIK3CG/NSD2/PSMB10/CARS1/SPPL2A/NFKBIA/MTHFD1/MVK/RPA1/ITCH/LIG4/DOCK11/CSNK2A1/NHLRC2/IRF2BP2/VPS33A/MYD88/POLD1/REL/HYOU1/SIK3/PRKCD/SLC35C1/RFX5/SPI1/JAZF1/SCARB2/TRMU/XIAP/CASP10/IL10/MYSM1/PSMB4/SLC19A1/CD3E/TNIP1/BCL10/NFKB1/STIM1/MAN2B1/SRP54/TNPO3/STAT2/CTNNBL1/RAG1/TRAF3/MPLKIP/DRG1/SKIC3/ZNF341/WAS/UBE2L3/CARD11/GPR35/CTBP1/ALG12/ARHGEF1/EXTL3/FLT3LG/PDCD1/RNF31/RAG2",223
